Profile,Census_Year,Category,Sub_Category,Sub_Order,Value
,2016,,,,
,2016,,,2,
All residents,2016,Country of birth - overview,Australia,1,44439
All residents,2016,Country of birth - overview,Other countries,2,75780
All residents,2016,Country of birth - overview,Not stated,3,15724
All residents,2016,Country of birth - detailed,Australia,1,44439
All residents,2016,Country of birth - detailed,China (excludes SARs and Taiwan),2,21418
All residents,2016,Country of birth - detailed,Malaysia,3,6623
All residents,2016,Country of birth - detailed,India,4,6074
All residents,2016,Country of birth - detailed,Indonesia,5,3283
All residents,2016,Country of birth - detailed,England,6,3141
All residents,2016,Country of birth - detailed,"Korea, Republic of (South)",7,3118
All residents,2016,Country of birth - detailed,New Zealand,8,2846
All residents,2016,Country of birth - detailed,Singapore,9,1963
All residents,2016,Country of birth - detailed,Hong Kong (SAR of China),10,1912
All residents,2016,Country of birth - detailed,Vietnam,11,1894
All residents,2016,Country of birth - detailed,Thailand,12,1740
All residents,2016,Country of birth - detailed,Taiwan,13,1598
All residents,2016,Country of birth - detailed,Italy,14,1254
All residents,2016,Country of birth - detailed,Philippines,15,1129
All residents,2016,Country of birth - detailed,Japan,16,1104
All residents,2016,Country of birth - detailed,United States of America,17,1092
All residents,2016,Country of birth - detailed,Colombia,18,1039
All residents,2016,Country of birth - detailed,Sri Lanka,19,674
All residents,2016,Country of birth - detailed,Brazil,20,624
All residents,2016,Country of birth - detailed,Other countries,21,13254
All residents,2016,Country of birth - detailed,Not stated,22,15724
All residents,2016,Ancestry,Chinese,1,38194
All residents,2016,Ancestry,English,2,23600
All residents,2016,Ancestry,Australian,3,16362
All residents,2016,Ancestry,Irish,4,10070
All residents,2016,Ancestry,Scottish,5,7637
All residents,2016,Ancestry,Indian,6,7082
All residents,2016,Ancestry,Italian,7,4965
All residents,2016,Ancestry,German,8,3284
All residents,2016,Ancestry,Korean,9,3194
All residents,2016,Ancestry,Vietnamese,10,2344
All residents,2016,Ancestry,Indonesian,11,1820
All residents,2016,Ancestry,Thai,12,1634
All residents,2016,Ancestry,Malay,13,1522
All residents,2016,Ancestry,Greek,14,1412
All residents,2016,Ancestry,Filipino,15,1341
All residents,2016,Ancestry,Japanese,16,1329
All residents,2016,Ancestry,Dutch,17,1282
All residents,2016,Ancestry,Somali,18,1166
All residents,2016,Ancestry,French,19,1023
All residents,2016,Ancestry,Spanish,20,972
All residents,2016,Ancestry,Other ancestries,21,21701
All residents,2016,Ancestry,Not stated,22,15904
All residents,2016,Ancestry,Not applicable,23,104042
All residents,2016,Language spoken at home - detailed,English,1,55007
All residents,2016,Language spoken at home - detailed,Mandarin,2,25405
All residents,2016,Language spoken at home - detailed,Cantonese,3,5287
All residents,2016,Language spoken at home - detailed,Indonesian,4,2930
All residents,2016,Language spoken at home - detailed,Korean,5,2861
All residents,2016,Language spoken at home - detailed,Spanish,6,2294
All residents,2016,Language spoken at home - detailed,Hindi,7,2287
All residents,2016,Language spoken at home - detailed,Vietnamese,8,2026
All residents,2016,Language spoken at home - detailed,Arabic,9,1738
All residents,2016,Language spoken at home - detailed,Italian,10,1718
All residents,2016,Language spoken at home - detailed,Thai,11,1576
All residents,2016,Language spoken at home - detailed,"Chinese, nfd",12,1472
All residents,2016,Language spoken at home - detailed,Somali,13,1104
All residents,2016,Language spoken at home - detailed,Japanese,14,1069
All residents,2016,Language spoken at home - detailed,French,15,918
All residents,2016,Language spoken at home - detailed,Tamil,16,849
All residents,2016,Language spoken at home - detailed,Telugu,17,802
All residents,2016,Language spoken at home - detailed,Greek,18,651
All residents,2016,Language spoken at home - detailed,Malay,19,647
All residents,2016,Language spoken at home - detailed,Portuguese,20,645
All residents,2016,Language spoken at home - detailed,Other languages,21,9104
All residents,2016,Language spoken at home - detailed,Not stated,22,15505
Australia (country of birth),2016,Age,0-4 years,1,3134
Australia (country of birth),2016,Age,5-14 years,2,2867
Australia (country of birth),2016,Age,15-19 years,3,2687
Australia (country of birth),2016,Age,20-24 years,4,5607
Australia (country of birth),2016,Age,25-29 years,5,6775
Australia (country of birth),2016,Age,30-34 years,6,5161
Australia (country of birth),2016,Age,35-39 years,7,3447
Australia (country of birth),2016,Age,40-44 years,8,2540
Australia (country of birth),2016,Age,45-49 years,9,2326
Australia (country of birth),2016,Age,50-54 years,10,2055
Australia (country of birth),2016,Age,55-59 years,11,1997
Australia (country of birth),2016,Age,60-64 years,12,1811
Australia (country of birth),2016,Age,65+ years,13,4039
Australia (country of birth),2016,Proficiency in English,Speaks English only,1,38164
Australia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Very well,2,4412
Australia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Well,3,564
Australia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not well,4,348
Australia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not at all,5,360
Australia (country of birth),2016,Proficiency in English,Not stated - both language (LANP) and proficiency (ENGP) not stated,6,462
Australia (country of birth),2016,Proficiency in English,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",7,125
Australia (country of birth),2016,Educational institution attendance,Preschool,1,570
Australia (country of birth),2016,Educational institution attendance,Infants/Primary,2,1996
Australia (country of birth),2016,Educational institution attendance,Secondary,3,1417
Australia (country of birth),2016,Educational institution attendance,Technical or Further Educational Institution (including TAFE Colleges),4,559
Australia (country of birth),2016,Educational institution attendance,University or other Tertiary Institution,5,7127
Australia (country of birth),2016,Educational institution attendance,Other,6,362
Australia (country of birth),2016,Educational institution attendance,Not stated,7,839
Australia (country of birth),2016,Educational institution attendance,Not applicable,8,31572
Australia (country of birth),2016,Level of education,Postgraduate Degree Level,1,4646
Australia (country of birth),2016,Level of education,Graduate Diploma and Graduate Certificate Level,2,1915
Australia (country of birth),2016,Level of education,Bachelor Degree Level,3,12940
Australia (country of birth),2016,Level of education,Advanced Diploma and Diploma Level,4,3347
Australia (country of birth),2016,Level of education,Certificate Level,5,3579
Australia (country of birth),2016,Level of education,Level of education inadequately described,6,238
Australia (country of birth),2016,Level of education,Level of education not stated,7,930
Australia (country of birth),2016,Level of education,Not applicable,8,16848
Australia (country of birth),2016,Religious affiliation,Buddhism,4,653
Australia (country of birth),2016,Religious affiliation,Christianity,2,15723
Australia (country of birth),2016,Religious affiliation,Hinduism,5,263
Australia (country of birth),2016,Religious affiliation,Islam,3,1188
Australia (country of birth),2016,Religious affiliation,Judaism,6,238
Australia (country of birth),2016,Religious affiliation,Other Religions,7,169
Australia (country of birth),2016,Religious affiliation,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,1,23879
Australia (country of birth),2016,Religious affiliation,Inadequately described,8,449
Australia (country of birth),2016,Religious affiliation,Not stated,9,1874
Australia (country of birth),2016,Year of arrival,Before 2000,1,0
Australia (country of birth),2016,Year of arrival,2000-2005,2,0
Australia (country of birth),2016,Year of arrival,2006-2010,3,0
Australia (country of birth),2016,Year of arrival,2011-2015,4,0
Australia (country of birth),2016,Year of arrival,Arrived 2016,5,0
Australia (country of birth),2016,Need for assistance with core activities,Has need for assistance with core activities,1,1093
Australia (country of birth),2016,Need for assistance with core activities,Does not have need for assistance with core activities,2,42465
Australia (country of birth),2016,Need for assistance with core activities,Not stated,3,883
Australia (country of birth),2016,Providing paid assistance,No unpaid assistance provided,1,34018
Australia (country of birth),2016,Providing paid assistance,Provided unpaid assistance,2,3544
Australia (country of birth),2016,Providing paid assistance,Not stated,3,881
Australia (country of birth),2016,Providing paid assistance,Not applicable,4,6000
Australia (country of birth),2016,Providing child care,Did not provide child care,1,31666
Australia (country of birth),2016,Providing child care,Provided child care,2,6012
Australia (country of birth),2016,Providing child care,Not stated,3,755
Australia (country of birth),2016,Providing child care,Not applicable,4,6000
Australia (country of birth),2016,Labour force status - detailed,"Employed, worked full-time",1,19246
Australia (country of birth),2016,Labour force status - detailed,"Employed, worked part-time",2,7597
